"key","en","fr","tr"
"connect_text","Connecting Google Play ... ","Se connecter à Google Play ","Google Play'e Bağlanıyor...",""
"play","Play","Jouer","Oyna",""
"settings","Settings","Parametres","Ayarlar",""
"quit","Quit","Quitter","Çıkış",""
"wardrobe","Wardrobe","Garderobe","Dolap",""
"soon","Soon!","Soon!","Yakında!",""
"leaderboard","Leaderboard","Classement","Sıralama",""
"poweruplevel","POWERUP LEVEL","PowerUp Level","GÜÇLENDİRME SEVİYESİ",""
"towerlevel","TOWER LEVEL","TOWER LEVEL","KULE SEVİYESİ",""
"permanentpowerup","PERMANENT POWERUP","PERMANENT POWERUP","KALICI GÜÇLENDİRME",""
"startpowerup","STARTING POWERUP","STARTING POWERUP","BAŞLANGIÇ GÜÇLENDİRMESİ",""
"treasure","TREASUER","TRÉSOR","HAZİNE",""
"umbrella","Umbrella","Parapluie","Şemsiye",""
"stickyplunger","StickyPlunger","Piston Collant","Pompa",""
"timeslower","TimeSlower","TimeSlower","ZamanBükücü",""
"platformsave","PlatformSaver","PlatformSaver","PlatformKoruyucu",""
"coinmagnet","CoinMagnet","CoinMagnet","ParaMagneti",""
"supercoin","SuperCoin","SuperCoin","SuperPara",""
"speedup","SpeedUp","SpeedUp","Hızlandırıcı",""
"colorfulgold","ColorfulGold","ColorfulGold","RenkliParalar",""
"constantcamera","ConstantCamera","ConstantCamera","SabitKamera",""
"offlinegold","OfflineGold","OfflineGold","ÇevrimdışıGelir",""
"startingfloor","StartingFlood","StartingFlood","Merdiven",""
"elevator","Elevetor","Elevator","Asansör",""
"doublegold","DoubleGold","DoubleGold","DublePara",""
"rocket","Rocket","Rocket","Roket",""
"richyrich","RichyRich","RichyRich","ParaBabası",""
"poweruppool","PowerUpPool","PowerUpPull","GüçlendirmeHavuzu",""
"global","Global","Global","Global",""
"friends","Friends","Friends","Arkadaşlar",""
"settingtext","You must login to keep in safe your stats.","You must login to keep in safe your stats.","Bilgilerini saklamak için en az bir platformdan giriş yapmalısın.",""
"notconnected","Not Connected","Not Connected","Bağlı Değil",""
"language","Language","Language","Dil",""
"joystick","Joystick","Joystick","OyunÇubuğu",""
"settbutton","Button","Button","Buton",""
"opentext","Open","Open","Açık",""
"credits","Credits","Credits","Hakkında",""
"pasue","Paused","Paused","Duraklatıldı",""
"puan","Puan","Puan","Puan",""
"combo","Combo","Combo","Kombo",""
"moneytext","Coin","Coin","Para",""
"moveon","MoveOn","Continue","Devam",""
"notext","No","Non","Hayır",""
"starttext","Start","Start","Başla",""
"markettext","Market","Market","Market",""
"connected","Connected","Connected","Bağlı",""
"gameover","GAME OVER","GAME OVER","OYUN BİTTİ",""
"timeprize","TIME PRIZE","TIME PRIZE","ZAMAN ÖDÜLÜ",""
"dailyprize","DAILY PRIZE","DAILY PRIZE","GÜNLÜK ÖDÜL",""
"revive","REVIVE","RELANCER","YENİDEN DİRİL",""
"languages","LANGUAGES","LANGUAGES","DİL SEÇENEKLERİ",""
"languagechangetext","Are you sure you want to change the language settings?","Voulez-vous vraiment modifier les paramètres de langue?","Dil ayarlarını değiştirmek istediğine emin misin?",""
"timepassed","Time Passed:","Time Passed:","Geçen Süre:",""
"usetext","Use","Use","Kullan",""







